code,type,name,units,term 1,term 2,term 3,prereq 1,prereq 2,prereq 3,prereq 4,prereq 5,concurrent ok,special prereq,options,,,,,,,,,,,,,,,,,,
MSE222,course,Kinematics and Dynamics of Rigid Bodies and Mechanisms,4,Spring,,,PHYS140,MATH260,,,,,,,,,,,,,,,,,,,,,,,,
MSE223,course,Introduction to Fluid Mechanics,4,Spring,,,PHYS140,MATH260,MATH251,,,,,,,,,,,,,,,,,,,,,,,
MSE250,course,Electric Circuits,4,Fall,,,PHYS141,MATH260,,,,MATH260,,,,,,,,,,,,,,,,,,,,
MSE251,course,Electronic Circuits,4,Spring,,,MSE250,,,,,,,,,,,,,,,,,,,,,,,,,
MSE280,course,Linear Systems,3,Spring,,,MSE250,,,,,,,,,,,,,,,,,,,,,,,,,
MSE293,coop option,Industrial Internship I,0,Fall,Spring,Summer,,,,,,,30 units,COOP,,,,,,,,,,,,,,,,,,
MSE294,coop option,Special Internship I,0,Fall,Spring,Summer,,,,,,,30 units,COOP,,,,,,,,,,,,,,,,,,
MSE300,course,The Business of Engineering I,3,Summer,,,,,,,,,75 units,,,,,,,,,,,,,,,,,,,
MSE310,course,Introduction to Electro-Mechanical Sensors and Actuators,4,Fall,,,MSE280,,,,,,,,,,,,,,,,,,,,,,,,,
MSE311,course,Introduction to Microelectromechanical Systems,3,Summer,,,MSE251,MSE222,,,,,,,,,,,,,,,,,,,,,,,,
MSE312,course,Mechatronics Design II,4,Summer,,,MSE320,MSE381,MSE110,,,MSE381,,,,,,,,,,,,,,,,,,,,
MSE320,course,Machine Design,4,Fall,,,MSE220,MSE100,MSE221,,,MSE100,,,,,,,,,,,,,,,,,,,,
MSE321,course,Engineering Thermodynamics and Heat Transfer,4,Fall,,,MSE223,,,,,,,,,,,,,,,,,,,,,,,,,
MSE352,course,Digital Logic and Microcontrollers,4,Fall,,,CMPT130,MSE251,,,,,,,,,,,,,,,,,,,,,,,,
MSE353,course,Power Electronics and Electric Machinery,4,Summer,,,MSE251,,,,,,,,,,,,,,,,,,,,,,,,,
MSE380,course,Systems Modeling and Simulation,3,Fall,,,MSE280,MSE221,MSE222,,,,,,,,,,,,,,,,,,,,,,,
MSE381,course,Feedback Control Systems,4,Summer,,,MSE280,,,,,,,,,,,,,,,,,,,,,,,,,
MSE393,coop option,Industrial Internship II,0,Fall,Spring,Summer,,,,,,,MSE293 or MSE294,COOP,,,,,,,,,,,,,,,,,,
MSE394,coop option,Special Internship II,0,Fall,Spring,Summer,,,,,,,MSE293 or MSE294,COOP,,,,,,,,,,,,,,,,,,
MSE402,course,Engineering Ethics Law and Professional Practice,2,Spring,,,MSE102,,,,,,100 units,,,,,,,,,,,,,,,,,,,
MSE405W,course,The Business of Engineering II & Entrepreneurship for Engineers,4,Summer,,,MSE300,,,,,,,,,,,,,,,,,,,,,,,,,
MSE410,course,Capstone Design Technical Project I,3,Spring,,,,,,,,,24 upper level MSE units and two co-op terms,,,,,,,,,,,,,,,,,,,
MSE411,course,Capstone Design Technical Project II,3,Summer,,,MSE410,,,,,,,,,,,,,,,,,,,,,,,,,
MSE420,technical elective option,Introduction to Biomechanical Engineering,3,Fall,Spring,Summer,MSE220,MSE222,,,,,80 credits,MSE4XX,,,,,,,,,,,,,,,,,,
